year,winner
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,1.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,1.0
2008,1.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,0.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,1.0
2008,0.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,1.0
2008,0.0
2008,0.0
2008,1.0
2008,0.0
2008,1.0
2008,0.0
2008,1.0
2008,0.0
2008,1.0
2008,1.0
2008,1.0
2008,0.0
2008,0.0
