state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race,state_id,congressional_district,year
 Virginia,66.7,21.6,0.3,5.4,0.1,7.2,51,2,2012
 Virginia,35.8,57.4,0.5,1.5,0,5.7,51,3,2012
 Virginia,61.5,32.2,0.3,2.2,0,5.1,51,4,2012
 Virginia,74.7,20.3,0.2,1.3,0.1,3.4,51,5,2012
 Virginia,84.3,10.4,0.3,1.5,0,4.5,51,6,2012
 Virginia,77.3,13.8,0.3,4.1,0.1,5.2,51,7,2012
 Virginia,63.9,13,0.2,11.7,0.1,19,51,8,2012
 Virginia,91.3,5.4,0.1,1.3,0,2,51,9,2012
 Virginia,73.2,7,0.2,12.5,0.1,12.2,51,10,2012
 Virginia,59.8,13.3,0.2,17.4,0,17.9,51,11,2012
 Washington,81.5,1.3,1.1,9.2,0.4,8,53,1,2012
 Washington,80.8,2.5,1.3,7.9,0.3,10.4,53,2,2012
 Washington,76.2,1,2.5,1.7,0.2,37,53,4,2012
 Washington,88.7,1.6,1.9,2.4,0.3,5.9,53,5,2012
 Washington,76.5,4.5,0.8,10.1,0.5,7.6,53,7,2012
 Washington,54.7,11.5,0.8,21.8,1.3,11.1,53,9,2012
 Washington,75.9,6.3,1.4,6.4,1.4,10.5,53,10,2012
 West Virginia,92.4,3.6,0.1,0.7,0,2,54,2,2012
 New Mexico,69,2.7,4,2.1,0.1,49.2,35,1,2012
 New Mexico,80.3,1.7,5.9,0.7,0.1,52.2,35,2,2012
 New York,88.4,4.8,0.3,3.7,0,12.7,36,1,2012
 New York,77.1,9.6,0.2,3.2,0,22.1,36,2,2012
 New York,77.4,3.3,0.1,13,0,10.3,36,3,2012
 New York,68.3,14.3,0.3,6.3,0,18.8,36,4,2012
 New York,18.2,50.1,0.5,12.8,0,19.2,36,5,2012
 New York,49.2,3.8,0.2,37.2,0.1,20.1,36,6,2012
 New York,49.7,10.9,0.3,18.9,0,43.7,36,7,2012
 New York,29.6,56.8,0.3,4.3,0,17.5,36,8,2012
 New York,72,4.2,0.2,16.8,0,12.4,36,10,2012
 New York,71.5,7.6,0.1,13.3,0,15.6,36,11,2012
 New York,26.2,30.4,0.6,5.1,0,54.6,36,13,2012
 New York,15,32,0.6,2,0,66.4,36,15,2012
 New York,47.6,33.1,0.4,4.8,0,23.6,36,16,2012
 New York,79.5,8.7,0.6,3.3,0,15.3,36,18,2012
 New York,75.6,15.7,0.3,3.5,0,7.9,36,25,2012
 New York,81.5,9,0.1,3.9,0,5.8,36,20,2012
 New York,92.3,3.2,0.8,0.9,0.1,2.9,36,21,2012
 New York,92,2.7,0.5,2.3,0.1,3.5,36,23,2012
 New York,73.1,18.1,0.3,3.5,0,5.7,36,26,2012
 North Carolina,90.6,3.5,1.6,1.1,0,5.4,37,11,2012
 North Carolina,37.6,50.4,0.4,5.2,0.1,14.5,37,12,2012
 North Carolina,39.1,53.4,0.7,1.3,0,7.7,37,1,2012
 North Carolina,82.2,11.7,0.2,1.4,0,5.9,37,10,2012
 North Carolina,82.4,12.3,0.3,1.5,0,8.7,37,5,2012
 North Carolina,77.9,15.6,0.5,2.1,0,6.1,37,6,2012
 North Carolina,69.4,18.6,7,1.1,0,8.8,37,8,2012
 Ohio,91.2,5.2,0.2,0.7,0.1,3.3,39,4,2012
 Ohio,57.7,32.7,0.3,3,0,6.8,39,3,2012
 Ohio,92.4,3,0.2,1.3,0.1,4.3,39,5,2012
 Ohio,93.2,3.9,0.2,0.5,0,1.8,39,7,2012
 Ohio,75.4,16.6,0.4,1.3,0.1,10.3,39,9,2012
 Ohio,40.5,54.1,0.2,1.9,0,3.8,39,11,2012
 Ohio,89,4.2,0.1,3.5,0,1.9,39,12,2012
 Ohio,91.4,4.4,0.1,2.3,0,2.4,39,14,2012
 Ohio,93.7,2.4,0.2,1.8,0,1.9,39,16,2012
 North Carolina,75,18.5,0.4,1.3,0.1,7.1,37,3,2012
 Mississippi,69.6,27.3,0.2,0.4,0,3.2,28,1,2012
 Mississippi,32.9,65,0.3,0.6,0,1.6,28,2,2012
 Mississippi,61.2,35.7,1.1,0.9,0,2.2,28,3,2012
 Mississippi,72.4,23.5,0.2,1.3,0,3.8,28,4,2012
 Pennsylvania,83.2,6.5,0.3,1.9,0,17.3,42,16,2012
 Missouri,89.5,3.8,0.1,4.1,0,2.7,29,2,2012
 Missouri,89.7,3.8,0.6,1.5,0.1,3.3,29,4,2012
 Missouri,69.1,22,0.6,1.4,0.2,8.4,29,5,2012
 Missouri,92.5,1.7,1.1,1.1,0.2,4.6,29,7,2012
 Montana,89.2,0.4,6.5,0.6,0.1,3.1,30,0,2012
 Nebraska,90.8,2.3,1.4,2.2,0.2,8,31,1,2012
 Nebraska,79.7,10.4,0.5,2.8,0,10.7,31,2,2012
 Nebraska,94.1,1,0.6,0.9,0,10.2,31,3,2012
 Nevada,83.2,1.8,2.3,4,0.7,21.4,32,2,2012
 Nevada,69.7,7.4,0.4,12.7,0.7,16.6,32,3,2012
 New Hampshire,93.8,1.5,0.1,2.2,0,2.9,33,1,2012
